Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Euro area,228549331,229700811,230802301,231837256,233000242,234371051,235934885,237878108,239986936,242114384,244169605,246100101,248142076,250114872,251691336,253060544,253272107,254552163,256110530,257664867,259162923,260648893,261954003,263300319,264349476,265472181,266171543
Eritrea,496260,511623,528778,549470,575798,609484,651980,703157,760628,820403,879061,935315,989368,1041346,1079024,1115201,1149669,,,,,,,,,,
Spain,30133075,30291556,30451227,30610090,30767125,30937864,31186430,31708814,32390830,33059302,33727737,34408810,35159317,35833174,36260460,36535850,36773882,36904876,36891840,36890017,36971015,37112875,37311863,37588424,37974181,38274379,38361119
Estonia,1009954,992487,978597,966608,966817,969061,961159,953352,945646,938279,931205,924006,918084,913914,910446,906655,902194,899089,897846,897427,899949,902145,905267,910578,916207,920385,922702
Ethiopia,7888014,8247227,8610539,8981735,9363838,9761537,10174157,10604081,11049316,11510093,11986371,12478999,13001477,13689471,14413056,15178365,15986316,16839220,17717911,18635948,19590312,20581864,21609825,22678264,23788710,24941349,26137874
European Union,298883110,299966897,300993286,301959292,303042739,304075051,305278438,306961949,309016307,311124846,313183120,315148345,317172249,319152658,320826834,322196474,322486012,323794326,325389418,326995182,328554220,330129009,331549958,333026382,334223766,335426421,336072330
Fragile and conflict affected situations,197425584,202934810,208466208,214062585,219870388,225959606,232822237,240017237,247558294,255322367,263322205,271539666,279613793,288632534,298012541,307774075,317674858,327870851,338366577,348971993,360060925,371153940,382332487,393840857,405960052,418906094,432740389
Finland,4135420,4162332,4187218,4210769,4232899,4253964,4273258,4290649,4307931,4327463,4349276,4372951,4398523,4426008,4454167,4492880,4543014,4593267,4629925,4651843,4669930,4686120,4699884,4709266,4717991,4728699,4743470
Fiji,352789,363031,370461,377054,383114,388539,393125,396965,400572,404671,409743,416120,423586,432366,440971,448575,454892,460180,464880,469753,475368,481873,489114,496945,505049,513187,521334
France,44604031,44863819,45123543,45390690,45743981,46214923,46709572,47206862,47699496,48209409,48730237,49228312,49690036,50127509,50547195,50961405,51373808,51791148,52228059,52647802,53009026,53323902,53654868,53979477,54275936,54560881,54837816
Faroe Islands,15545,15887,16188,16434,16649,16983,17472,17960,18366,18682,18988,19187,19293,19385,19475,19564,19646,19723,19813,19906,20009,20125,20255,20400,20554,20718,20888
"Micronesia, Fed. Sts.",26957,26507,25913,25227,24516,23984,23931,23899,23871,23809,23700,23524,23308,23103,22968,22948,23074,23330,23679,24066,24451,24827,25199,25573,25963,26378,26818
Gabon,811511,841987,873005,904527,936488,968917,1001790,1035389,1070252,1107101,1146536,1188550,1233155,1281023,1332880,1389181,1450331,1515815,1583686,1651170,1716265,1778160,1837187,1893996,1949693,2005203,2060586
United Kingdom,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600211,52130345,52650595,53209683,53802927,54382825,54923317,55426598,55909924,56282971,56656654
Georgia,2507764,2407551,2321114,2254204,2198282,2146120,2103451,2086373,2087702,2090052,2091919,2095077,2099115,2107603,2103652,2102941,2100564,2099468,2107360,2122558,2140097,2155877,2170854,2184950,2196346,2213266,2220419
Ghana,6829443,7141466,7459805,7786740,8123933,8469006,8811788,9166547,9534974,9919287,10320074,10739262,11176323,11628987,12092964,12566486,13047761,13537133,14034998,14543045,15062520,15593581,16135330,16687441,17249055,17820023,18399874
Gibraltar,28688,28970,29404,29945,30526,31081,31604,32097,32556,32930,33222,33420,33524,33570,33562,33585,33608,33653,33694,33726,33742,33738,33723,33715,33706,33691,33691
Guinea,2142724,2221968,2302606,2383622,2464349,2543832,2621416,2697745,2774557,2854180,2938479,3028542,3124050,3224126,3327236,3432518,3539413,3648854,3762925,3884552,4017353,4162449,4319326,4486525,4661505,4842717,5029610
"Gambia, The",489374,515203,542096,570243,599747,630760,663374,697680,733010,767537,803056,839503,877006,915780,956056,998130,1042056,1087862,1135416,1184628,1235413,1287718,1341601,1397012,1453952,1512397,1572291
Guinea-Bissau,374249,385926,397668,409664,422179,435389,449390,464198,479786,496132,513185,530989,549571,569008,589354,610731,633138,656566,680896,705998,731764,758123,785097,812698,840920,869776,899251
Equatorial Guinea,201161,217619,235468,254764,275466,297586,321086,346134,372910,401728,432777,466233,502050,540133,580245,622236,666013,711522,748580,786523,825201,864455,904178,944327,984809,1025582,1066554
Greece,7617319,7663691,7714274,7770011,7812670,7857551,7919906,7991509,8052786,8114802,8180275,8246206,8308341,8371303,8433780,8484693,8511794,8505100,8482139,8463623,8445266,8446960,8466513,8485202,8511650,8529948,8535707
Grenada,34569,35062,35507,35916,36311,36711,37083,37219,37344,37461,37567,37661,37743,37835,37947,38098,38292,38542,38829,39136,39454,39774,40096,40425,40764,41111,41470
Greenland,45143,45335,45487,45638,45708,45859,46122,46473,46739,46997,47175,47220,47213,47196,47360,48018,48217,48402,48322,48308,48298,48503,48629,48637,48945,49198,49575
Guatemala,4490594,4635095,4781726,4933129,5089420,5253870,5421506,5588466,5750534,5911891,6074432,6238013,6402661,6568347,6734651,6902116,7072123,7243152,7418337,7597137,7779195,7964335,8153103,8345772,8540945,8738685,8938987
Guam,133994,136641,139050,141208,143095,144651,145812,146696,147368,147872,148317,148697,149034,149361,149691,150031,150409,150834,151374,152070,153004,154177,155572,157117,158694,160239,161700
Guyana,221819,220997,219502,217623,215772,214263,213174,212399,210927,209284,207596,205854,204109,202424,200904,199603,198536,199422,200450,201637,202917,204272,205727,207263,208915,210688,212575
High income,800298714,808155151,815790335,823322467,830835462,838281931,847154483,856791146,866318873,876104865,885958372,896109239,906381087,917059907,926954602,936149761,942919758,950419270,957932210,965608829,973224046,980941436,988104928,994958412,1001377962,1008505774,1011432282
"Hong Kong SAR, China",6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100
Honduras,2451506,2552137,2656724,2764783,2875642,2988641,3103449,3229731,3358946,3490501,3623946,3759509,3896842,4035650,4175237,4315518,4455998,4597021,4738709,4882044,5027133,5174308,5323340,5474092,5626432,5780230,5935355
Heavily indebted poor countries (HIPC),112050834,116486921,121042387,125661738,130458796,135492774,140946368,146706543,152774499,159039279,165590384,172378816,179015728,186577845,194454097,202688363,211290529,220121424,229294870,238840219,248770232,259093102,269819313,280949951,292473355,304383118,316677158
Croatia,2415305,2392886,2391671,2400581,2400611,2387324,2306414,2315000,2322932,2330812,2341055,2348849,2355577,2362537,2367290,2369143,2368126,2368751,2370674,2370234,2360534,2354458,2337248,2327904,2327032,2329561,2256663
Haiti,2523935,2618588,2713741,2811191,2911009,3013114,3206868,3408428,3617449,3770733,3920687,4074700,4232451,4394109,4558835,4726821,4897847,5071849,5248179,5426831,5607351,5788114,5968477,6148673,6328949,6509478,6690021
Hungary,6735415,6710863,6684288,6655715,6623887,6593735,6588305,6611324,6633742,6660205,6694281,6737243,6779707,6820246,6861506,6891116,6916190,6912310,6920508,6928924,6939335,6946267,6955524,6974963,7000436,7014452,7014907
IBRD only,1531254276,1571454056,1612249196,1653560142,1695005247,1736652375,1780343824,1826492099,1873440721,1921068181,1969371870,2017529904,2065752116,2114790803,2164612441,2214990614,2265715904,2317809982,2370556736,2423507360,2476317766,2529215923,2582417026,2634177755,2684649049,2733527537,2780308505
IDA & IBRD total,1790824259,1840957194,1891986965,1943702794,1995720663,2048327401,2103981988,2162645893,2222524645,2283509412,2345717741,2408310869,2471128348,2535933894,2601985186,2669164462,2736675863,2805580458,2875634330,2946542595,3018348768,3090962746,3164592663,3237588649,3310137127,3381928132,3452479763
IDA total,259569983,269503138,279737769,290142652,300715416,311675026,323638164,336153794,349083924,362441231,376345871,390780965,405376232,421143091,437372745,454173848,470959959,487770476,505077594,523035235,542031002,561746823,582175637,603410894,625488078,648400595,672171258
IDA blend,101775568,105651122,109655428,113727469,117787593,121970470,126587382,131319765,136125024,141097536,146271344,151670594,157314706,163199212,169295157,175757645,182311097,188787619,195460748,202346504,209437703,216720489,224185927,231886966,239831544,248003523,256401124
Indonesia,71046003,74433223,77897524,81452540,85098301,88840036,91738483,94698442,97720470,100811245,103961907,107178769,110459095,113814306,117243823,120709136,124016434,127396101,130825451,134286663,137751866,141211677,144655573,148088731,151509724,154926514,158327668
IDA only,157794415,163852016,170082341,176415183,182927823,189704556,197050782,204834029,212958900,221343695,230074527,239110371,248061526,257943879,268077588,278416203,288648862,298982857,309616846,320688731,332593299,345026334,357989710,371523928,385656534,400397072,415770134
Isle of Man,37353,37748,38255,38823,39377,39874,40278,40609,40913,41258,41676,42204,42802,43393,43857,44120,44152,43997,43753,43549,43485,43600,43860,44212,44608,44980,45332
India,256470882,263440889,270523260,277707329,284978105,292322757,300118526,308796506,317584393,326495070,335503761,344622641,353850624,363154576,372465918,381763164,391040056,400416922,409907903,419567353,429428650,439501314,449795398,460304169,471031529,481980332,493169259
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,
