Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Estonia,36343487.58,41436607.71,53031652.18,59919847.48,73800541.32,78313308.56,93818539.9,122069530.7,171411923.9,204968180.2,204517021,236324449.2,371974547.4,429662698.9,353366576.6,332180157,389237580.9,436852911.6,479314460.8,512119045.1,463568814.5,497653404.3,537440226.9,614945174.3,637035378.4,701014476.2,
Ethiopia,122460147.5,126454733.2,225417105.1,458549925.4,703704869.5,617541613.6,349808276.5,288932333.5,278673159.9,311038749,342066638.7,345687017,360140308.6,388187596.7,339627768,303617033.1,332441772.4,366539017.7,345064165.8,414476025.8,442532624.5,490177248.5,499795483.5,512029056.7,544839429.8,461257623.9,
European Union,1.50118E+11,1.51107E+11,1.36007E+11,1.36366E+11,1.34772E+11,1.20599E+11,1.19394E+11,1.28873E+11,1.58076E+11,1.78978E+11,1.77353E+11,1.88645E+11,2.12635E+11,2.37824E+11,2.2702E+11,2.1496E+11,2.22841E+11,2.06793E+11,2.0886E+11,2.08432E+11,1.78733E+11,1.85228E+11,1.96385E+11,2.16551E+11,2.17817E+11,2.32813E+11,
Fragile and conflict affected situations,10087779474,10448097844,13192013271,14734654784,15213082641,17570487770,17666975275,19138175707,32319815347,40445570868,45703219336,15593308019,19705173151,25591467219,22307396106,21040726267,22288272170,27237729921,33897474688,29231615981,26192556614,22532837954,27173488870,22004163422,24136301739,24729836219,
Finland,1908986807,2021797095,1947002590,1959708814,1653905119,1558135250,1479270879,1611406522,2475059743,2892938124,2999391049,3128517474,3296557750,3958118334,3940584835,3717180505,4099505807,3943239958,4161139945,3985508352,3399134967,3415008250,3431090217,3756949117,3629646216,4087541320,
Fiji,34700248.16,32851136.61,30962540.18,22598926.93,23811699.72,32039537.35,32811655.82,30914304.27,37296898.08,46798811.28,43111350.29,54067168.06,75576918.3,53585658.62,51285722.32,50408953.71,60785527.47,59221516.41,58108276.9,74787941.13,42617557.6,54411608,75276555.01,81378313.57,79497171.86,73510781.83,
France,40124024138,38977734096,34697904099,33633561283,32672714285,28403138949,27951566384,30578398933,38569115813,44524579613,44442050523,45792148416,50684467384,55365965845,56441455398,52044060565,54120871010,50216507403,52001462448,53134750899,45647471641,47370589553,49195662250,51409812839,50118929212,52747064858,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,91295212.2,90036137.23,94693165.45,108396421.2,125121856.6,118111430.5,130237717.3,,,,268738503.9,265965337.6,278143957.1,282163387.6,208124773.3,170374503.3,202815390.7,267430770.8,261217395.1,266879196.1,271499817.5,
United Kingdom,38294283080,38566134645,39889947449,41222125833,40760400667,39343711273,39512579944,44245265998,52343122277,60250782545,61653635038,64217619528,73448032014,72915407670,64010506670,63979111970,66569552573,65452487554,63837724855,66995468654,59990205719,53327327634,51633539217,55680228215,56856133066,59238462250,
Georgia,,67706683.56,44007707.13,41084456.98,25882678.36,18824291.43,23829967.87,33975807.04,42647402.88,70419742.78,214071430.1,404172025.9,931750564.2,1090160251,603655214.9,454178215.2,468779626.8,491982529.4,441878927,415643210.9,299514176.3,315194446.3,321136644.6,333912381.8,310614128.5,292168284.8,
Ghana,49054322.26,44417812.62,45483310.22,57453085.66,59277760.9,50882608.24,32352140.5,36975481.34,53244020.29,56353842.99,64196566.4,75732607.93,126077789,113668160.2,118290743.9,122480468.5,234327479.6,337260972.7,254997057.4,252653833.7,190540362,161751874.3,189129841.5,218444253.6,233320137,239887164.3,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,44370189.81,45034483.32,55211186.39,45967931.21,87718398.82,98084865.17,84133949.31,81018570.1,,,,,,,,168913357.5,196818705.6,196945589.8,221414232.3,161856744.5,181637775.9,197079526.4,197754330.7,209670400.4,
"Gambia, The",2886551.708,3929706.231,4176388.698,4049572.023,3519056.437,3323532.172,2454230.2,2259285.664,1997861.937,1931395.5,2985085.073,2786319.244,4547026.14,17163533.46,7095299.575,,,11173079.86,10378890.69,14599970.28,14288131.91,,,11487224.94,14529115.74,14804957.65,
Guinea-Bissau,2211919.911,1897743.657,1817811.122,2900235.951,,9531360.608,6183163.515,6363093.769,7505161.734,,12116374.83,,,,13744583.7,17129808.17,17519804.35,24491750.68,21710792.65,21470831.21,17036957.29,15730078.47,19021935.35,20139128.81,22571242.31,23306688.45,
Equatorial Guinea,3447875.179,,,,,,,,,,,,196314371.7,292754658.8,371927587.9,,,,,166540270.5,137262659.6,139200817.6,136210361.4,149498690,160714590.5,,
Greece,4179913247,4613167577,4573516492,4824257169,5012285642,4564522446,4428103552,4734177215,5035585542,6267468787,7028428593,7607186182,8533090258,10574138499,10641348183,8163619387,7128608267,5914988423,5655183036,5531285909,4818121326,4963484464,5088178883,5757114361,5471562920,5301379232,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,158348657.5,141370462.9,132112832.6,139804367.7,123754165.2,157848092.8,196765577.5,158368119.3,178771794,114893349.3,104467679.9,130546929.2,135925872.8,166494048.3,147410544.1,169798840.1,197433150.7,224366543.6,249757853.4,245672875.9,252455480.6,290912704,275014798.5,273114976.8,331882551.6,342766481,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,5691560.614,5558340.16,,,,12585649.29,14371052.9,16652243.46,16345330.57,22132238.74,18506566.6,19176973.64,24971954.12,30520593.42,31055650.89,31075055.49,32416747.54,33542606.6,35163485.79,39280967.47,46430508.47,51562130.82,59510895.88,61745465.96,67206937.71,66016858.34,
High income,6.20688E+11,6.09335E+11,6.01396E+11,5.92905E+11,6.03153E+11,6.15989E+11,6.21108E+11,6.80991E+11,7.91552E+11,8.87236E+11,9.39839E+11,9.88535E+11,1.07311E+12,1.18554E+12,1.2217E+12,1.26476E+12,1.31528E+12,1.28234E+12,1.24159E+12,1.22792E+12,1.14871E+12,1.14094E+12,1.17508E+12,1.24668E+12,1.28875E+12,1.35372E+12,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,52462396.89,62951976.58,63602176.06,82195176.79,60561786.64,62589274.81,75595918.54,95924340.17,132428400.6,156802557.3,170186979.7,200358405.9,212341274.3,294917779.4,314071900.2,356266321,363272338.5,398460128.4,385320064.2,407390257.8,402659082.6,
Heavily indebted poor countries (HIPC),1473607055,1700180261,1814603452,2278128552,2871721142,2824352742,2323662526,2386117156,2847407505,3943927941,4041915987,4885281803,6301159293,8176416377,7913543890,5201216707,5455659990,5521179381,6953091869,7576600783,8770163529,9962127676,11698608774,9039594247,9107286459,9880028924,
Croatia,2060388930,1938698897,1797184681,1427264827,1035949008,659775033.3,629464103.8,733680739.1,709399147.2,730867004.5,799160901.2,849431034.7,978853732.1,1295957074,1129098496,1015876654,1106464042,955320163.6,956952644.1,1063469743,883162983.3,836685042.1,920837052.9,966358716.8,1001812141,1034925915,
Haiti,2478871.189,,,,,,,,,,,,,,,,,,51595.84748,53511.5951,73562.29689,64514.31661,73613.49246,139683.8816,113017.4895,263808.8478,
Hungary,612184817.1,585271901.8,695972460.9,618464380,702942491.1,715857664.8,845055673.8,1079154824,1401561253,1532612234,1596087843,1410071771,1776464117,1867877499,1475818169,1350820413,1472069832,1322277703,1280050962,1209801890,1132476292,1288676093,1463013911,1791545365,2051055453,2409532347,
IBRD only,1.01187E+11,1.10063E+11,1.18254E+11,1.07607E+11,1.08837E+11,1.15782E+11,1.23536E+11,1.21263E+11,1.34315E+11,1.56473E+11,1.85842E+11,2.16411E+11,2.6363E+11,3.2238E+11,3.37269E+11,3.808E+11,4.316E+11,4.69542E+11,5.07685E+11,5.17713E+11,4.94097E+11,4.96399E+11,5.30476E+11,5.45916E+11,5.65112E+11,5.68927E+11,
IDA & IBRD total,1.14126E+11,1.23668E+11,1.32072E+11,1.22897E+11,1.25294E+11,1.33855E+11,1.41657E+11,1.42438E+11,1.69326E+11,1.98721E+11,2.31868E+11,2.31526E+11,2.81245E+11,3.43098E+11,3.58363E+11,4.01239E+11,4.54716E+11,4.93904E+11,5.33369E+11,5.45775E+11,5.2273E+11,5.2583E+11,5.62995E+11,5.77903E+11,5.95116E+11,6.00858E+11,
IDA total,12939208741,13604617846,13818007579,15290205071,16457832680,18073433016,18121220019,21174057120,35011580226,42247855030,46025395767,15115045002,17614659532,20718124845,21094183114,20438341101,23116192741,24362540154,25683303921,28062143682,28632614764,29430976859,32518920406,31986627179,30004339799,31930826857,
IDA blend,5040901816,5116673165,5077335469,5060609008,4447024493,4164458887,4195933324,5375910901,5149812228,5707172450,6122414228,6775815647,7419902596,8103861805,7848605791,9388873958,10687583726,11521210422,12246082362,13532996445,13311539754,14047241447,15409407200,17664392851,14839109412,14951331712,
Indonesia,2478753541,2874845238,3231358571,972702125.1,1135147005,1129542840,919022697.8,1369857129,2134746704,2428947795,2146270791,2611875117,3348758342,3232202215,3304459138,4663365759,5838026186,6531097955,8384028601,6929248704,7595030528,7396626075,8797528450,7556824711,9003028193,9395529531,
IDA only,7898306924,8487944681,8740672110,10229596063,12010808187,13908974129,13925286696,15798146219,29861767998,36540682580,39902981540,8339229355,10194756936,12614263041,13245577323,11049467142,12428609015,12841329732,13437221559,14529147238,15321075010,15383735411,17109513206,14322234327,15165230387,16979495145,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,
