Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,4.324790001,,,3.613409996,3.352540016,3.188750029,3.142849922,,,3.278249979,3.377690077,3.79618001,3.867500067,3.844670057,,4.114570141,4.254079819,4.305449963,4.363739967,4.4072299,4.474229813,
Ireland,4.132259846,4.087490082,4.104879856,4.204939842,4.482960224,4.518980026,4.547420025,4.715410233,5.458280087,6.15610981,6.05136013,5.829040051,5.752689838,5.342050076,4.878499985,3.758769989,3.742120028,3.50928998,3.392869949,,,
Iran,4.030640125,4.071680069,4.484879971,4.363220215,4.296629906,4.056509972,4.289989948,4.596809864,3.913759947,3.842449903,3.709180117,3.484970093,3.168590069,3.06795001,2.801350117,2.797389984,3.365760088,3.790400028,3.955359936,3.663199902,3.592430115,
Iraq,,,,,,,,,,,,,,,,4.489999771,4.710000038,,,,,
Iceland,6.431439877,6.705920219,7.298920155,7.245079994,7.161180019,7.338439941,7.195219994,6.944330215,7.036019802,7.189849854,6.944240093,6.789979935,7.582230091,7.448689938,7.641409874,7.457970142,7.432199955,7.583859921,7.561709881,,,
Israel,6.112820148,6.373980045,6.465060234,6.345499992,5.940279961,5.754590034,5.75635004,5.495950222,5.519949913,5.481719971,5.5198102,5.549369812,5.672530174,5.854259968,5.766819954,5.862110138,5.855780125,6.057909966,6.112339973,,,
Italy,4.291079998,4.650090218,4.432409763,4.541790009,4.385200024,4.238299847,4.52545023,4.10503006,4.387949944,4.523719788,4.334119797,4.115680218,4.056019783,4.143670082,4.061279774,4.073629856,3.815789938,4.044939995,4.256140232,,,
Jamaica,4.983469963,5.381030083,5.375229836,4.256849766,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.015860081,5.455210209,5.314610004,5.260169983,5.413809776,5.163640022,5.61749506,6.027470112
Jordan,,,,,,4.920000076,4.659999847,5.039999962,3.670000076,3.589999914,3.099999905,3.400000095,3.5,3.5,3.799999952,3.450000048,3.452820063,3.228539944,2.984810114,2.988470078,,
Japan,3.460119963,3.400820017,3.408989906,3.466629982,3.426110029,3.314939976,3.276679993,3.279340029,3.27241993,,3.599519968,3.605279922,3.64741993,3.624969959,3.551589966,,3.146430016,3.130579948,3.077820063,,,
Kazakhstan,3.25661993,,3.029700041,,2.25590992,2.263530016,2.626780033,2.831389904,2.589459896,3.060719967,3.462260008,3.493520021,3.901690006,3.437370062,3.421649933,2.788579941,2.978100061,2.750819921,2.615950108,2.856970072,,
Kenya,5.186729908,5.206210136,6.171999931,6.494269848,6.796929836,7.335649967,7.049839973,,,,4.815489769,4.700129986,4.931210041,4.837210178,4.717299938,4.743500233,4.895180225,4.963089943,5.107619762,4.97439003,5.079969883,4.799036026
Kyrgyzstan,3.50838995,3.854180098,4.445459843,4.475419998,4.622439861,4.873839855,5.549860001,6.467000008,5.913189888,6.232679844,5.818830013,6.79061985,7.384230137,6.780200005,5.531599998,5.985509872,6.586150169,6.026189804,5.552670002,5.366749763,,
Cambodia,1.666810036,1.722219944,1.711210012,,1.719820023,,,1.599300027,,1.665680051,1.533789992,1.510689974,1.560899973,2.05053997,1.909389973,2.599999905,2.799999952,3.200000048,2.162859917,,,
Kiribati,11.18587017,11.98812008,,,,,,,,,,12.97000027,13.38438034,12.02653027,11.23237038,9.862959862,10.09358978,10.86316013,11.96829033,12.39466,,
Korea,,,,,,,,,,2.869999886,2.839999914,,,,,,4.333099842,4.328239918,4.458079815,,,
Kuwait,,6.585830212,6.551109791,,5.535069942,4.738339901,3.759979963,2.579999924,2.769999981,3.579999924,3.569999933,3.420000076,3.75,3.880000114,4.400000095,4.771480083,5.847710133,6.36548996,6.38917017,6.49243021,6.551259995,
Laos,1.503690004,1.990280032,2.825220108,,2.413000107,2.414089918,2.958790064,3.078419924,2.27854991,1.654850006,1.709789991,1.708019972,1.821470022,3.233809948,2.937809944,,,2.519999981,2.369999886,2.299999952,2.230000019,
Lebanon,,2.841480017,2.552710056,,2.640949965,2.646189928,2.779759884,2.583570004,2.014790058,1.765709996,1.613309979,1.652519941,2.148089886,2.432450056,2,2.099999905,2.123929977,2.132940054,2.524470091,2.592020035,,
Liberia,,,,,,,,,1.701660037,,,,1.777119994,1.690780044,2.200050116,2.170830011,2.14812994,2.663300037,2.503910065,2.270390034,2.309289932,2.692179441
Libya,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,2.25999999,2.329999924,2.25999999,1.980000019,2.055900097,1.717740059,1.808609962,1.496170044,1.621070027,1.932880044,2.22874999,,,2.135390043,1.929999948,,
Lesotho,10.09154987,9.365050316,10.10044956,13.21957016,11.10900974,12.07966042,11.27128029,,12.32952023,,,8.165100098,7.666059971,7.29226017,7.198599815,9,7.760749817,8.156889915,7.285359859,7.991712093,7.669359207,8.702640533
Lithuania,,5.84758997,5.800079823,5.114180088,5.174280167,4.878399849,4.825729847,4.595210075,4.839900017,5.585239887,5.297860146,5.113430023,4.758029938,4.602330208,4.486579895,4.227190018,4.004310131,3.812200069,3.892930031,,,
Luxembourg,,3.539730072,,,,,,,,,,,3.87816,,3.855690002,3.767920017,,3.48645997,3.647490025,,,
Latvia,5.274270058,5.446959972,5.602540016,5.057149887,4.834060192,,4.684669971,4.633289814,5.366449833,5.522659779,5.03881979,5.071619987,6.582709789,6.996970177,5.281229973,5.282519817,4.65749979,4.366710186,4.243569851,,,
Macao ,3.314389944,2.71446991,2.842959881,2.780169964,2.23348999,2.277879953,2.193860054,2.043450117,2.196409941,2.533230066,2.618489981,2.675280094,3.325160027,2.050489902,2.048530102,3.002470016,3.099529982,2.706429958,2.728780031,3.05862999,6.300000191,
Morocco,,,,,,,,,5.342150211,5.260640144,,,,,,4.645984173,,5.118315697,5.348847866,5.931356907,6.754302025,
Moldova,4.486390114,4.846849918,5.497910023,5.424890041,6.771039963,7.162700176,7.498990059,8.293370247,8.237270355,9.509759903,7.592299938,7.136380196,6.983389854,5.909759998,6.266019821,5.805689812,5.608449936,5.618440151,5.439730167,6.103789806,6.388720036,
Madagascar,2.438689947,2.70720005,2.231790066,2.610949993,2.812619925,3.309639931,2.830970049,2.902740002,2.554339886,2.825129986,2.75,2.381680012,2.340670109,1.776939988,2.381230116,2.210119963,2.687190056,2.701374292,2.844099998,2.994858742,3.095706224,
Maldives,,,5.791860104,5.324069977,4.661600113,5.016839981,4.64523983,4.417880058,4.470290184,5.081689835,3.633280039,3.080729961,3.34085989,3.388299942,3.088589907,3.887510061,3.686990023,3.887470007,3.912489891,4.121590137,,
Mexico,3.992439985,4.24104023,4.454959869,5.072579861,4.726709843,4.845689774,4.699920177,4.690509796,4.82006979,5.187940121,5.159220219,5.105649948,5.103099823,4.696050167,5.257470131,5.229420185,4.90681982,4.518219948,4.254220009,,,
Marshall Islands,,,8.208979607,11.81980038,,,,,17.55999947,23.27000046,20.59000015,19.70999908,15.59000015,15.98999977,15.67000008,17.62999916,15.27999973,15.22000027,15.19999981,15.75,,
Mali,2.971560001,2.658449888,2.896229982,3.805599928,3.859220028,3.52218008,,,3.403559923,3.869040012,3.343889952,3.754230022,3.479490042,3.284650087,3.648190022,3.801520109,3.094779968,3.789769888,3.905565023,3.484102249,3.763431311,
Malta,,,4.143050194,,4.434929848,,,5.947500229,5.501210213,5.070390224,6.250040054,7.696129799,6.345459938,7.579239845,7.004209995,5.023980141,5.084459782,4.651629925,,,,
Myanmar,,,,,,,,,,,0.899999976,0.850319982,1.600000024,2.099999905,1.899999976,2.099999905,1.899999976,2.32633996,2.157480001,2.139869928,,
